unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP,tradecount
1.65168E+12,04/05/2022 17:00,BTC/GBP,31396.54,31412.93,31126.3,31221.32,18.64565,582588.3794,570
1.65168E+12,04/05/2022 16:00,BTC/GBP,31222.4,31618.34,31157.91,31386.5,30.0996,944184.1943,887
1.65168E+12,04/05/2022 15:00,BTC/GBP,31065.92,31302.76,31000.31,31224.4,19.91407,620278.2801,790
1.65167E+12,04/05/2022 14:00,BTC/GBP,31041.87,31174.82,30987.94,31055.15,19.7683,614696.4089,738
1.65167E+12,04/05/2022 13:00,BTC/GBP,31122.29,31207.61,31019.91,31027.29,19.47135,606359.8955,693
1.65167E+12,04/05/2022 12:00,BTC/GBP,31181.32,31302.46,31040.27,31111.99,23.9576,746241.8622,760
1.65166E+12,04/05/2022 11:00,BTC/GBP,31172.56,31206.46,31063.02,31179.77,15.76509,491072.4266,695
1.65166E+12,04/05/2022 10:00,BTC/GBP,31112.65,31222.69,31083.67,31166.34,19.26506,600223.1996,742
1.65165E+12,04/05/2022 09:00,BTC/GBP,31167.08,31235.99,31057.98,31111.62,24.98386,777821.4521,788
1.65165E+12,04/05/2022 08:00,BTC/GBP,30976.13,31199.43,30950.18,31152.63,27.04207,840339.9616,838
1.65165E+12,04/05/2022 07:00,BTC/GBP,30767.46,31000,30683.88,30966.78,17.43384,537223.2268,649
1.65164E+12,04/05/2022 06:00,BTC/GBP,30515.68,30779.25,30515.68,30774.21,12.24128,375339.686,459
1.65164E+12,04/05/2022 05:00,BTC/GBP,30442.79,30547.99,30420.03,30517.54,7.52098,229154.9597,302
1.65164E+12,04/05/2022 04:00,BTC/GBP,30459.07,30501.6,30393.14,30445.04,4.745,144396.6994,308
1.65163E+12,04/05/2022 03:00,BTC/GBP,30405.79,30518.85,30404.37,30455.49,5.73698,174723.0379,338
1.65163E+12,04/05/2022 02:00,BTC/GBP,30333.99,30471.22,30332.32,30415.59,4.59238,139584.0379,306
1.65163E+12,04/05/2022 01:00,BTC/GBP,30346.83,30421.72,30326.28,30335.01,5.61492,170498.1068,379
1.65162E+12,04/05/2022 00:00,BTC/GBP,30204.31,30363.47,30143.8,30343.93,7.08158,214313.2549,339
1.65162E+12,03/05/2022 23:00,BTC/GBP,30200.61,30228.92,30132.57,30204.31,6.22482,187943.4734,339
1.65162E+12,03/05/2022 22:00,BTC/GBP,30247.33,30308.8,30201.08,30201.08,5.9613,180360.3563,368
1.65161E+12,03/05/2022 21:00,BTC/GBP,30268.31,30454.71,30116.72,30271.87,13.28322,401788.576,493
1.65161E+12,03/05/2022 20:00,BTC/GBP,30213.35,30317.87,30052.76,30282.61,10.62536,320344.2846,524
1.6516E+12,03/05/2022 19:00,BTC/GBP,30262.62,30262.62,30065.18,30202.67,16.89394,509563.1939,616
1.6516E+12,03/05/2022 18:00,BTC/GBP,30473.31,30473.31,30136.51,30257.54,31.62301,957258.1412,663
1.6516E+12,03/05/2022 17:00,BTC/GBP,30582.82,30649.35,30483.7,30486.21,22.83367,697991.698,669
1.65159E+12,03/05/2022 16:00,BTC/GBP,30654.4,30716.53,30494.65,30553.98,15.54148,475235.2975,821
1.65159E+12,03/05/2022 15:00,BTC/GBP,30605.76,30700,30559.05,30645.53,20.09854,615951.8173,629
1.65159E+12,03/05/2022 14:00,BTC/GBP,30633.36,30721.56,30500.01,30603.48,34.62879,1058955.257,885
1.65158E+12,03/05/2022 13:00,BTC/GBP,30637.8,30672.73,30463.43,30620.33,26.23693,802331.8597,653
1.65158E+12,03/05/2022 12:00,BTC/GBP,30804.59,30837.06,30624.96,30632.21,19.52877,599934.1483,643
1.65158E+12,03/05/2022 11:00,BTC/GBP,30766.77,30814.6,30653.93,30803.84,14.79334,454698.6577,475
1.65157E+12,03/05/2022 10:00,BTC/GBP,30725.43,30766.6,30690.11,30756.12,7.43948,228641.0437,380
1.65157E+12,03/05/2022 09:00,BTC/GBP,30747.95,30791.18,30713.57,30725.43,9.8068,301613.1864,414
1.65156E+12,03/05/2022 08:00,BTC/GBP,30766.91,30821.26,30748.08,30748.89,8.76689,269847.1831,417
1.65156E+12,03/05/2022 07:00,BTC/GBP,30749,30795.46,30695.43,30768.89,10.50128,322811.2488,487
1.65156E+12,03/05/2022 06:00,BTC/GBP,30802.37,30825.88,30730.45,30743.47,8.87414,273182.3321,478
1.65155E+12,03/05/2022 05:00,BTC/GBP,30757,30814.79,30673.49,30796.55,6.09842,187445.4755,294
1.65155E+12,03/05/2022 04:00,BTC/GBP,30760.43,30782.31,30703.97,30753.04,6.03069,185331.8392,248
1.65155E+12,03/05/2022 03:00,BTC/GBP,30670.24,30830.75,30667.16,30739.91,8.35725,257055.3912,290
